dataset,split,method,metric,mean,std
2dplanes,test,Banzhaf,mae,0.32320638806618096,0.01953888959056125
2dplanes,test,Banzhaf,mse,0.14062808908141491,0.014831396559550781
2dplanes,test,BetaShapley,mae,1.2784534342488922,0.07748207122265272
2dplanes,test,BetaShapley,mse,2.755799551258718,0.3202255916996527
2dplanes,test,Bipartite,mae,0.14351699999999998,0.015955339347196916
2dplanes,test,Bipartite,mse,0.02981061999999997,0.0055119460763919485
2dplanes,test,Linear,mae,0.2690819515274261,0.015744994952295383
2dplanes,test,Linear,mse,0.09800031786425326,0.009587426588715798
2dplanes,test,MLP,mae,0.32157717025052907,0.0197505519510547
2dplanes,test,MLP,mse,0.13589037136348472,0.014331674364394444
2dplanes,test,Shapley,mae,1.3078325173030032,0.08131917010827279
2dplanes,test,Shapley,mse,2.887273493460279,0.34412419442535425
2dplanes,train,Banzhaf,mae,0.31941613253257045,0.02097653061854411
2dplanes,train,Banzhaf,mse,0.13377944908769315,0.014508294426364029
2dplanes,train,BetaShapley,mae,1.2817752375467584,0.07710102730049376
2dplanes,train,BetaShapley,mse,2.805374793560333,0.3331558154774044
2dplanes,train,Bipartite,mae,0.145733,0.016312008201902883
2dplanes,train,Bipartite,mse,0.03135049999999996,0.0056091460108046885
2dplanes,train,Linear,mae,0.2583361248516201,0.014555520902376252
2dplanes,train,Linear,mse,0.091959857925913,0.008425210265618238
2dplanes,train,MLP,mae,0.32899917770189285,0.021297553965627346
2dplanes,train,MLP,mse,0.13651621501455827,0.014625600076270211
2dplanes,train,Shapley,mae,1.3105317447374119,0.07780363149700358
2dplanes,train,Shapley,mse,2.9350130129299528,0.34179082708185815
MiniBooNE,test,Banzhaf,mae,0.31750380296803776,0.021272306421687794
MiniBooNE,test,Banzhaf,mse,0.1365653480466642,0.01751518523571645
MiniBooNE,test,BetaShapley,mae,1.281985723368932,0.06198863598035082
MiniBooNE,test,BetaShapley,mse,2.7601003188237123,0.2614967441761707
MiniBooNE,test,Bipartite,mae,0.101351,0.022898520729054694
MiniBooNE,test,Bipartite,mse,0.01826957999999998,0.005447088997910526
MiniBooNE,test,Linear,mae,0.2653653333597577,0.016571318952281065
MiniBooNE,test,Linear,mse,0.09605655551467333,0.01109152438266369
MiniBooNE,test,MLP,mae,0.31596193375323756,0.02123822110685279
MiniBooNE,test,MLP,mse,0.13200193131900814,0.01638982568451812
MiniBooNE,test,Shapley,mae,1.3115030368094067,0.06457630927192964
MiniBooNE,test,Shapley,mse,2.888855025785178,0.27892077223264333
MiniBooNE,train,Banzhaf,mae,0.3141282772114072,0.02098994106899505
MiniBooNE,train,Banzhaf,mse,0.13029796609859318,0.016725695130381378
MiniBooNE,train,BetaShapley,mae,1.280373519695106,0.06918340880117796
MiniBooNE,train,BetaShapley,mse,2.800790234863117,0.3012301594233712
MiniBooNE,train,Bipartite,mae,0.104437,0.022135144977114888
MiniBooNE,train,Bipartite,mse,0.020152779999999974,0.005376884981160712
MiniBooNE,train,Linear,mae,0.255038753222205,0.016007546424087648
MiniBooNE,train,Linear,mse,0.09066127541055487,0.010947556351492551
MiniBooNE,train,MLP,mae,0.32358403850516915,0.021902958388062093
MiniBooNE,train,MLP,mse,0.13298757809748102,0.017111324076244088
MiniBooNE,train,Shapley,mae,1.3084216162537026,0.06937218721320385
MiniBooNE,train,Shapley,mse,2.9264795483169985,0.30499248753266556
bbc-embeddings,test,Banzhaf,mae,0.2894273090001324,0.02636279239389379
bbc-embeddings,test,Banzhaf,mse,0.11175047544331589,0.0196419231512411
bbc-embeddings,test,BetaShapley,mae,0.7458929407879509,0.07996209478883635
bbc-embeddings,test,BetaShapley,mse,0.9511590095004621,0.19925065421999355
bbc-embeddings,test,Bipartite,mae,0.05806799999999994,0.007517080620336034
bbc-embeddings,test,Bipartite,mse,0.00643859999999995,0.0011658849378995625
bbc-embeddings,test,Linear,mae,0.22674169464448796,0.018318691595772256
bbc-embeddings,test,Linear,mse,0.06851792293644268,0.011081611766352976
bbc-embeddings,test,MLP,mae,0.28831156043275075,0.026136517289337878
bbc-embeddings,test,MLP,mse,0.10728175647290931,0.018583372669091672
bbc-embeddings,test,Shapley,mae,0.767629594404916,0.08583692449678142
bbc-embeddings,test,Shapley,mse,1.0087575129972743,0.22184919165099917
bbc-embeddings,train,Banzhaf,mae,0.28174433586921604,0.02314971038172484
bbc-embeddings,train,Banzhaf,mse,0.10271941561797923,0.01667470718608741
bbc-embeddings,train,BetaShapley,mae,0.7410712145731744,0.07477813723780093
bbc-embeddings,train,BetaShapley,mse,0.9596097326951728,0.19292069731030986
bbc-embeddings,train,Bipartite,mae,0.059704999999999966,0.007344465513855352
bbc-embeddings,train,Bipartite,mse,0.006750699999999934,0.001073529787295418
bbc-embeddings,train,Linear,mae,0.2125073775643921,0.01707194310118289
